,Series4_A549_Mock_1,Series4_A549_Mock_2,Series4_A549_IAV_1,Series4_A549_IAV_2,Series9_NHBE_Mock_1,Series9_NHBE_Mock_2,Series9_NHBE_Mock_3,Series9_NHBE_Mock_4,Series9_NHBE_IAV_1,Series9_NHBE_IAV_2,Series9_NHBE_IAV_3,Series9_NHBE_IAV_4
PLEKHH3,116,195,30,52,208,206,305,579,612,102,249,116
CCR10,2,3,2,0,1,3,0,0,3,0,0,2
CNTNAP1,98,199,144,31,11,8,11,16,75,11,8,4
EZH1,162,303,232,58,111,97,121,226,499,117,133,61
RAMP2-AS1,0,0,1,0,0,0,1,0,2,0,4,0
RAMP2,0,0,0,1,0,0,0,0,0,0,0,0
VPS25,294,606,494,149,560,532,687,1299,2252,606,543,253
WNK4,18,48,35,10,5,6,6,5,35,8,18,13
COA3,242,461,555,157,247,243,347,582,977,225,241,103
CNTD1,7,3,17,4,1,3,2,7,13,4,2,1
BECN1,287,695,467,116,250,224,257,599,1459,373,436,219
PSME3,821,1703,1768,428,1298,1217,1311,2540,7404,1826,1650,881
AOC2,24,32,42,7,17,14,12,33,204,43,72,42
AOC3,17,10,30,5,21,10,4,12,61,21,33,14
LINC00671,0,0,0,0,1,0,0,0,1,0,0,1
G6PC,0,0,0,0,0,0,0,0,2,0,0,0
PTGES3L-AARSD1,0,0,0,0,0,0,0,0,0,0,0,0
AARSD1,0,0,1,0,0,0,0,0,0,0,0,0
PTGES3L,0,1,0,2,0,1,1,0,3,0,1,1
RUNDC1,156,287,287,97,99,107,170,334,604,160,184,122
RPL27,3100,8730,8497,2237,4262,4560,5318,8891,20770,5175,4826,1950
IFI35,121,188,89,43,8,12,15,17,72,27,53,15
VAT1,1053,1874,536,373,1511,1541,1633,3079,7137,1934,1703,844
RND2,4,1,2,1,1,0,2,1,4,0,3,0
BRCA1,403,996,1237,214,167,128,66,155,474,104,89,46
NBR2,18,40,30,3,15,19,14,29,38,23,19,14
NBR1,810,1507,1741,298,643,624,809,1692,3636,865,1162,588
TMEM106A,4,18,6,6,17,19,15,41,168,23,25,7
ARL4D,31,40,18,11,266,375,463,730,1241,349,411,199
MIR2117,0,0,0,0,0,0,0,0,0,0,0,0
DHX8,380,764,909,174,283,287,280,641,1805,434,374,169
ETV4,239,564,344,152,152,158,113,187,702,156,87,43
MEOX1,0,0,0,0,0,1,0,1,0,0,4,3
SOST,0,0,3,0,0,0,0,0,3,1,0,0
DUSP3,556,1059,820,299,416,420,527,1069,2777,625,632,324
MPP3,70,145,139,38,27,36,51,91,170,30,45,16
CD300LG,0,0,1,0,0,0,0,0,0,0,0,0
MPP2,79,119,98,32,4,3,0,1,7,1,2,4
FAM215A,0,0,0,0,0,0,0,0,0,0,0,0
PPY,0,0,0,0,0,1,0,0,0,0,0,0
PYY,0,0,0,0,0,1,0,0,5,0,1,3
NAGS,6,10,12,0,77,83,99,200,382,112,58,33
TMEM101,178,333,115,62,124,127,203,306,494,119,137,63
LSM12,57,134,55,32,47,44,95,174,229,47,54,29
G6PC3,410,772,217,171,304,313,331,640,1107,262,284,100
HDAC5,94,199,121,48,37,46,69,98,150,45,83,30
C17orf53,59,112,103,33,43,40,34,40,82,14,17,15
ASB16,20,16,4,2,6,3,6,9,14,4,1,2
ASB16-AS1,48,63,35,13,24,28,24,33,40,13,15,10
TMUB2,254,476,237,100,236,207,254,445,895,226,249,98
ATXN7L3,351,617,320,128,406,362,476,915,2014,444,437,220
UBTF,783,1521,1647,276,417,359,411,803,2194,507,437,224
SLC4A1,0,0,0,0,0,0,0,0,0,0,4,0
